Date,Open Price,High Price,Low Price,Close Price
10-Jan-17,80.15,81.2,79.25,80.7
11-Jan-17,80.7,85.75,80.7,83.5
12-Jan-17,84.15,84.9,82.3,82.6
13-Jan-17,83.75,83.9,81.8,82.15
16-Jan-17,82.75,83.65,81.9,82.45
17-Jan-17,82.7,83.6,81.25,81.5
18-Jan-17,82.1,83.3,81.6,81.85
19-Jan-17,82.25,84.45,81.6,83.15
20-Jan-17,83.2,83.35,80.8,81.05
23-Jan-17,80,82.3,80,81.6
24-Jan-17,82.4,83.15,81.5,81.85
25-Jan-17,82.15,83,82.05,82.15
27-Jan-17,84.8,84.8,82.9,83.3
30-Jan-17,83.35,86.7,82.4,85.65
31-Jan-17,86.2,86.9,83.55,84.05
1-Feb-17,84.05,85.5,83.1,84.65
2-Feb-17,85.2,87.4,85,85.9
3-Feb-17,82,82.5,81.1,81.65
6-Feb-17,81.95,82.95,81.3,81.5
7-Feb-17,81.5,82.65,80.2,80.9
8-Feb-17,81.4,82.45,81.1,81.55
9-Feb-17,81.65,82.2,80.35,81
10-Feb-17,81.85,85.95,81.35,83.3
13-Feb-17,83.3,83.8,81.15,81.65
14-Feb-17,81.85,83.7,80.7,81.75
15-Feb-17,81.6,81.7,79.25,79.35
16-Feb-17,79.85,80.8,79,79.9
17-Feb-17,80.85,81.7,80.2,80.95
20-Feb-17,81.1,82.55,80.35,81.3
21-Feb-17,81.75,82.85,81.35,81.6
22-Feb-17,81.75,82.65,81.1,81.3
23-Feb-17,81.5,81.7,80,80.15
27-Feb-17,80.35,81.65,79.7,80.15
28-Feb-17,80.65,82.95,80.3,81.6
1-Mar-17,81.8,85.15,81.65,83.55
2-Mar-17,83.6,84.4,80.45,80.85
3-Mar-17,81.1,82.85,80.1,81.65
6-Mar-17,81.2,82.3,81,81.2
7-Mar-17,81.4,82.65,80.8,81.05
8-Mar-17,81.4,81.6,80,80.3
9-Mar-17,80.4,80.7,79.5,79.7
10-Mar-17,79.8,80.45,78.8,79.1
14-Mar-17,80.8,80.8,79.25,79.45
15-Mar-17,81.75,82.8,80.8,81.1
16-Mar-17,81.6,82.4,81.25,81.6
17-Mar-17,81.6,82,81.15,81.4
20-Mar-17,81.3,81.9,79.9,80.05
21-Mar-17,80.5,80.55,79.2,79.65
22-Mar-17,79,79.95,77.8,77.95
23-Mar-17,78.6,79.85,78.3,78.5
24-Mar-17,78.8,79.4,77.7,77.95
27-Mar-17,77.1,78.1,76.55,76.85
28-Mar-17,77.45,79.2,76.9,77.15
29-Mar-17,77.7,78.2,76.5,77.15
30-Mar-17,77.1,78.2,77.05,77.4
31-Mar-17,77.5,78.65,77.25,77.5
3-Apr-17,78,79.8,78,79.4
5-Apr-17,80.2,82.3,79.75,81.7
6-Apr-17,81.7,81.85,80.25,80.95
7-Apr-17,80.7,84.8,80.3,83.15
10-Apr-17,84.65,90,83.55,87.25
11-Apr-17,87.6,90.7,86.4,87.4
12-Apr-17,87.9,88.4,84.4,86.05
13-Apr-17,86.15,90.4,85.2,86.75
17-Apr-17,86.15,91.75,85.8,88.95
18-Apr-17,89,90.7,85.55,86
19-Apr-17,86.25,86.7,84.5,85.7
20-Apr-17,86.1,88.5,86,86.95
21-Apr-17,87.6,90.4,87,88.55
24-Apr-17,93.9,94.8,90.55,90.95
25-Apr-17,91.9,92.65,89.9,90.45
26-Apr-17,90.8,91.75,87.2,88.2
27-Apr-17,88.6,89.35,86.7,86.85
28-Apr-17,86.75,89.5,86.4,87.9
2-May-17,88.3,88.8,87,87.25
3-May-17,87.65,88.35,86.5,86.75
4-May-17,87.35,89.55,87.25,88.55
5-May-17,88.15,89.9,86.25,86.7
8-May-17,87.3,88.5,86.7,87.3
9-May-17,87.9,87.9,86.65,86.95
10-May-17,87.4,89.35,87.05,88.7
11-May-17,88.95,92.25,88.5,90.2
12-May-17,90.85,90.85,87.9,88.75
15-May-17,88.75,94.35,88.75,93.1
16-May-17,93.75,95.2,92.7,93.15
17-May-17,93,97.3,92,94.95
18-May-17,94.7,98.9,93.75,95.55
19-May-17,96.05,97.7,93.15,93.55
22-May-17,94.2,94.25,90.9,91.1
23-May-17,91.5,91.5,87.5,88.55
24-May-17,88.5,91.3,84.75,85.65
25-May-17,86.45,87.4,85.6,86.6
26-May-17,86.7,91.5,86.45,88.9
29-May-17,89.4,90.25,86,88
30-May-17,87.65,88.7,86.5,87.5
31-May-17,87.75,88.5,86.5,87
1-Jun-17,87,91,87,89.15
2-Jun-17,89.95,90.2,88.1,88.3
5-Jun-17,88,90.9,88,89.65
6-Jun-17,90.05,91.5,87.75,88.35
7-Jun-17,88.9,89.45,87.75,88.45
8-Jun-17,88.9,93.7,88.5,92.2
9-Jun-17,92,92.5,90.55,90.85
12-Jun-17,90.7,90.7,88.1,88.4
13-Jun-17,88.55,90.2,87.5,87.65
14-Jun-17,87.4,88,86.7,86.9
15-Jun-17,87.15,88.6,86.75,87.3
16-Jun-17,87.65,89.45,87.3,87.5
19-Jun-17,89,90.25,88.55,89
20-Jun-17,89.2,94.3,89.1,92.7
21-Jun-17,92.9,97.7,92,95.35
22-Jun-17,95.25,97.45,92.75,93
23-Jun-17,93.4,93.8,90,90.2
27-Jun-17,90.8,90.9,87.65,88.4
28-Jun-17,89.4,90.6,88.9,89.75
29-Jun-17,93.95,95.45,91.3,94.05
30-Jun-17,93.4,94.9,92.5,93.2
3-Jul-17,93.55,111.8,93.4,109.85
4-Jul-17,108.85,125.4,108.4,121.65
5-Jul-17,121.6,130.5,119.7,125.45
6-Jul-17,125.4,126.7,120.5,121.15
7-Jul-17,121.15,128.85,120.1,124.5
10-Jul-17,126,128.3,123.5,125.15
11-Jul-17,125.5,130.3,123.5,124.8
12-Jul-17,125.6,126.4,122.6,123.4
13-Jul-17,124.1,127.4,122.1,122.65
14-Jul-17,123.4,123.4,116.15,117
17-Jul-17,118.3,122.8,118.3,121.05
18-Jul-17,120.75,124.6,119.65,121.75
19-Jul-17,123.1,146.1,123.1,145.85
20-Jul-17,145,146.8,136.55,138.25
21-Jul-17,139.75,149.8,136.65,146.55
24-Jul-17,148,153,145.1,146.9
25-Jul-17,146.85,146.9,141.5,142.15
26-Jul-17,142.7,145.45,141.1,141.75
27-Jul-17,141.95,144.8,137.8,138.5
28-Jul-17,137.5,141.3,136,137.9
31-Jul-17,138.5,141.25,137.6,138.6
1-Aug-17,139,140.3,133.6,135
2-Aug-17,134.9,136.1,131.1,131.95
3-Aug-17,132,132.9,127.25,127.9
4-Aug-17,128,135.4,125.7,134.05
7-Aug-17,136.65,145,135.75,142.3
8-Aug-17,144.05,146.4,139.4,140.6
9-Aug-17,139.1,141.8,135.15,136.25
10-Aug-17,134.95,137.35,125.1,128.95
11-Aug-17,119.5,132.3,119.3,127.5
14-Aug-17,129.4,134.65,129.4,133
16-Aug-17,133.75,139.6,133.75,138.45
17-Aug-17,138.75,145.65,137.65,141.15
18-Aug-17,139,143,137.3,141.35
21-Aug-17,141.95,143.6,137.5,138.25
22-Aug-17,139,140.45,135.5,136.65
23-Aug-17,137.35,144.5,137.3,143.15
24-Aug-17,144.5,146.9,142.15,142.8
28-Aug-17,143.75,151.9,142.5,150.3
29-Aug-17,150,164,149.05,155.55
30-Aug-17,158,162.35,158,159.5
31-Aug-17,159.95,166.5,156.1,163.25
1-Sep-17,164.45,167.1,162,163.85
4-Sep-17,162.9,163.5,156.4,158.95
5-Sep-17,159.1,166.3,159.1,165.05
6-Sep-17,167.7,181.7,167.4,174.8
7-Sep-17,176.3,182.4,173.1,180.3
8-Sep-17,186,189.9,182.5,184.6
11-Sep-17,186,187.95,181.65,184.5
12-Sep-17,186.5,189.5,184.1,185.95
13-Sep-17,186.75,187,177.45,179.8
14-Sep-17,180.25,188.9,176.35,186
15-Sep-17,185.85,205.95,183.95,203.1
18-Sep-17,203.25,243.7,197.2,242.55
19-Sep-17,248.7,286,244,278.25
20-Sep-17,278,283,264.3,268.5
